|word|wordcount
0|франции франции франции|284
1|сообщает риа новости|262
2|россии владимир путин|138
3|президент россии владимир|135
4|результате инцидента пострадал|86
5|возбуждено уголовное статье|81
6|статье ук рф|81
7|источник правоохранительных органах|80
8|уголовное статье ук|77
9|передает риа новости|76
10|погибли получили ранения|71
11|словам главы государства|66
12|настоящее ведется расследование|63
13|риа новости результате|62
14|результате теракта погибли|62
15|годам лишения свободы|62
16|погибли большинство убиты|61
17|возбуждении уголовного дела|58
18|инцидент произошел среду|56
19|результате происшествия пострадал|56
20|числе двое детей|55
21|результате погибли большинство|55
22|риа новости ссылкой|53
23|ссылкой источник правоохранительных|53
24|составе сборной россии|53
25|настоящее мире насчитывается|51
26|словам собеседника агентства|50
27|введении санкций россии|48
28|мнению главы государства|48
29|среду сентября сообщает|46
30|сообщает интерфакс ссылкой|46
31|словам источника агентства|45
32|результате аварии погибли|45
33|приговорен годам лишения|44
34|сообщается сайте регионального|41
35|настоящее стране насчитывается|41
36|произошел среду июня|41
37|владимир путин подписал|40
38|ук рф убийство|40
39|сайте регионального управления|39
40|настоящее данном случае|39
41|заявил ходе беседы|38
42|ходе беседы президентом|38
43|ходе операции боевиков|37
44|украины виктор ющенко|37
45|президент украины виктор|37
46|настоящее афганистане находятся|37
47|владимир путин заявил|37
48|источника агентства настоящее|36
49|последние годы жил|36
50|настоящее находится отпуске|36
51|главы государства настоящее|35
52|решение принято решение|35
53|сотни получили ранения|35
54|путин подписал указ|34
55|никакого отношения россии|34
56|пишет газета коммерсант|34
57|возбуждено уголовное статьям|33
58|результате погибли получили|33
59|погибли сотни получили|33
60|риа новости заявил|32
61|интерфакс ссылкой источник|32
62|регионального управления мвд|32
63|россии владимиром путиным|32
64|президентом россии владимиром|32
65|словам настоящее находится|31
66|статьям ук рф|31
67|месте происшествия работают|31
68|начались массовые беспорядки|30
69|погибли большинство госпитализированы|30
70|составил миллиарда долларов|30
71|россии продано долларов|30
72|рф получение взятки|29
73|погибли числе двое|29
74|новости ссылкой источник|29
75|решение возбуждении уголовного|29
76|грозит лишения свободы|29
77|ук рф получение|28
78|результате столкновений погибли|28
79|киеве начались массовые|27
80|настоящее находится стражей|27
81|ходе расследования дела|27
82|уголовное статьям ук|27
83|котором приняли участие|27
84|принято заседании правительства|26
85|сентября сообщает интерфакс|26
86|рамках расследования дела|26
87|россии продано рублей|25
88|виде лишения свободы|25
89|отношении возбуждено уголовное|25
90|сообщается сайте ведомства|25
91|возглавил сборную россии|25
92|наказание виде лишения|25
93|решение принято заседании|24
94|риа новости ходе|24
95|ук рф мошенничество|24
96|армения армения армения|24
97|президент украины петр|24
98|россии принято решение|24
99|украины петр порошенко|24
100|данном случае удастся|23
101|новости заявил ходе|23
102|последним данным результате|23
103|среду марта москве|23
104|настоящее находится больнице|22
105|дании дании дании|22
106|происшествия прибыли сотрудники|22
107|предварительным данным результате|22
108|процедура присоединения региона|22
109|данном случае вина|22
110|ходе беспорядков убиты|22
111|пишет газета ведомости|22
112|массовые акции протеста|22
113|ходе предвыборной кампании|22
114|случае вина доказана|22
115|отмечает агентство настоящее|22
116|владимир путин предложил|22
117|присоединения региона соответствовала|22
118|екатеринбурге екатеринбурге екатеринбурге|21
119|задержанных возбуждено уголовное|21
120|различной степени тяжести|21
121|занимал пост президента|21
122|отношении задержанных возбуждено|21
123|виктор ющенко заявил|21
124|нормам международного права|21
125|марта президент россии|21
126|соответствовала нормам международного|21
127|президент сша барак|20
128|сообщили пресс службе|20
129|сша барак обама|20
130|настоящее находится стадии|20
131|решение принято связи|20
132|слова приводит тасс|20
133|собеседника агентства ходе|20
134|первым заместителем руководителя|20
135|лдпр лдпр лдпр|20
136|ходе беспорядков киеве|20
137|региона соответствовала нормам|20
