|word|wordcount
0|россии|12783
1|сообщает|8730
2|долларов|6713
3|рублей|6366
4|словам|5906
5|сша|5890
6|заявил|5570
7|новости|5261
8|процента|5199
9|данным|5105
10|ранее|4994
11|риа|4983
12|рф|3981
13|страны|3722
14|результате|3706
15|украины|3495
16|пресс|3469
17|президент|3364
18|интерфакс|3364
19|миллиарда|3264
20|президента|3156
21|миллиона|3021
22|сообщается|3000
23|сайте|2967
24|власти|2960
25|компании|2840
26|ссылкой|2827
27|решение|2815
28|марта|2788
29|сентября|2739
30|декабря|2689
31|сообщил|2667
32|ноября|2625
33|миллиардов|2612
34|мая|2598
35|октября|2543
36|января|2541
37|суд|2534
38|июля|2523
39|москвы|2489
40|июня|2450
41|погибли|2386
42|глава|2383
43|апреля|2360
44|августа|2359
45|москве|2349
46|февраля|2345
47|передает|2291
48|области|2288
49|ходе|2228
50|отметил|2178
51|министр|2155
52|информации|2144
53|премьер|2086
54|евро|2040
55|числе|1971
56|безопасности|1941
57|тысячи|1940
58|тасс|1928
59|агентство|1912
60|стало|1911
61|является|1904
62|человека|1898
63|мвд|1890
64|территории|1890
65|известно|1884
66|сообщалось|1860
67|участие|1839
68|правительства|1838
69|связи|1814
70|настоящее|1808
71|составляет|1792
72|частности|1735
73|согласно|1725
74|стран|1722
75|представители|1721
76|получили|1708
77|напомним|1697
78|владимир|1655
79|стороны|1635
80|сообщили|1635
81|уголовное|1594
82|отношении|1589
83|организации|1571
84|республики|1569
85|российских|1565
86|мнению|1528
87|государства|1528
88|путин|1522
89|газета|1518
90|момент|1513
91|удалось|1506
92|партии|1503
93|понедельник|1499
94|начале|1498
95|главы|1494
96|четверг|1475
97|вторник|1465
98|дела|1463
99|находится|1462
100|пятницу|1459
101|стоимость|1458
102|среду|1447
103|должны|1445
104|течение|1439
105|произошел|1430
106|конце|1423
107|стране|1409
108|пишет|1386
109|среди|1384
110|полиции|1361
111|говорится|1346
112|источник|1346
113|месте|1339
114|правоохранительных|1331
115|российской|1323
116|заявили|1319
117|службы|1315
118|итогам|1314
119|возбуждено|1310
120|города|1307
121|сми|1304
122|образом|1298
123|таким|1291
124|случае|1289
125|российского|1285
126|правительство|1281
127|представитель|1272
128|управления|1263
129|получил|1244
130|агентства|1206
131|акции|1202
132|трех|1201
133|подчеркнул|1196
134|рубля|1195
135|го|1181
136|выборы|1165
137|министра|1161
138|сирии|1145
139|очередь|1138
140|составила|1133
141|добавил|1132
142|сотрудники|1125
143|пост|1125
144|газа|1122
145|суда|1115
146|выборах|1114
147|выборов|1112
148|метров|1111
149|срок|1100
150|сотрудников|1098
151|рамках|1093
152|ранения|1092
153|компания|1090
154|стали|1089
155|обороны|1086
156|работы|1083
157|граждан|1076
158|акций|1072
159|котором|1069
160|сборной|1062
161|планируется|1061
162|комитета|1060
163|совета|1057
164|дома|1052
165|ведомства|1047
166|происшествия|1043
167|рассказал|1033
168|александр|1027
169|сергей|1026
170|оон|1024
171|число|1021
172|месяцев|1021
173|информацию|1017
174|дней|1013
175|органов|1006
176|последние|1003
177|счетом|1003
178|делу|992
179|объем|991
180|российские|990
181|летний|988
182|людей|987
183|ожидается|983
184|дня|981
185|произошло|978
186|погибших|968
187|вечером|965
188|части|963
189|составил|961
190|дмитрий|961
191|вице|960
192|проект|960
193|украине|960
194|бывший|957
195|отмечает|957
196|официальный|956
197|либо|956
198|членов|953
199|двое|952
200|грузии|950
201|примерно|947
202|размере|945
203|чемпионата|941
204|обвинения|938
205|находятся|934
206|действия|929
207|российский|929
208|средств|923
209|составит|921
210|отмечается|920
211|администрации|908
212|должна|905
213|марте|904
214|состоится|900
215|заявление|899
216|инцидент|899
217|закон|896
218|субботу|896
219|воскресенье|894
220|операции|893
221|мчс|891
222|санкт|889
223|пострадавших|888
224|оружия|886
225|сумма|885
226|нового|883
227|качестве|880
228|факту|879
229|статье|875
230|пострадали|875
231|банка|870
232|издания|868
233|часов|864
234|матч|861
235|доллара|861
236|свободы|859
237|ук|859
238|идет|858
239|борту|858
240|считает|857
241|команды|850
242|рынке|846
243|первом|843
244|бюджета|838
245|московскому|833
246|министерства|831
247|жителей|829
248|принято|826
249|лидер|823
250|федерации|823
251|количество|821
252|конца|821
253|компаний|820
254|издание|816
255|службе|815
256|утром|814
257|пройдет|809
258|представителей|807
259|ес|803
260|пяти|796
261|сумму|796
262|прошлого|796
263|задержан|790
264|нефти|789
265|участников|787
266|национальной|786
267|провести|784
268|украина|783
269|сил|778
270|квадратных|777
271|данные|776
272|помощи|775
273|официальном|774
274|белоруссии|774
275|военных|770
276|проекта|769
277|иностранных|762
278|франции|761
279|взрыва|760
280|новых|759
281|расследование|758
282|германии|758
283|служба|756
284|считают|753
285|километров|753
286|декабре|753
287|курс|752
288|властей|747
289|боевиков|747
290|районе|745
291|россию|745
292|поскольку|744
293|парламента|744
294|общей|743
295|следствия|742
296|позднее|742
297|задержаны|742
298|сообщении|739
299|состоянии|737
300|мид|737
301|информация|736
302|счет|734
303|развития|733
304|переговоры|733
305|группы|733
306|меры|732
307|нескольких|729
308|которое|727
309|великобритании|726
310|новой|725
311|период|725
312|полиция|725
313|официально|725
314|уточняется|725
315|слова|724
316|причиной|722
317|состав|719
318|детей|719
319|январе|719
320|европы|718
321|находились|716
322|банк|716
323|речь|714
324|уголовного|708
325|программы|708
326|итар|707
327|четырех|706
328|работу|704
329|лиц|702
330|россиян|702
331|мужчина|699
332|городе|699
333|приняли|698
334|бывшего|695
335|впервые|694
336|ближайшее|693
337|данный|692
338|следственного|690
339|принять|689
340|провел|687
341|военной|684
342|предварительным|683
343|рост|681
344|сайт|681
345|центре|680
346|проведения|677
347|сравнению|672
348|большинство|672
349|преступления|670
350|здания|670
351|заседании|669
352|феврале|669
353|необходимо|667
354|источники|666
355|й|664
356|медведев|663
357|апреле|662
358|версии|662
359|ввп|658
360|возможность|657
361|некоторые|657
362|заявила|654
363|столицы|653
364|трое|652
365|решения|651
366|цены|649
367|конфликта|647
368|список|645
369|деятельности|645
370|органах|644
371|своем|643
372|самолет|642
373|ноябре|642
374|одним|640
375|пострадал|640
376|голосов|639
377|октябре|639
378|военнослужащих|639
379|составе|638
380|мае|637
381|действий|637
382|органы|636
383|годы|636
384|новые|636
385|отказался|635
386|самолета|634
387|первого|634
388|коммерсант|633
389|россией|629
390|милиции|629
391|документ|629
392|средства|628
393|сентябре|626
394|московской|626
395|представителя|625
396|встречи|623
397|пассажиров|622
398|путина|622
399|матче|621
400|полностью|621
401|аль|620
402|ведомости|620
403|объявил|618
404|военные|617
405|совет|617
406|первые|616
407|принял|616
408|министерство|616
409|южной|615
410|востоке|614
411|интервью|614
412|планирует|613
413|движения|613
414|право|611
415|раза|610
416|газеты|609
417|секретарь|609
418|никаких|608
419|строительство|608
420|группа|604
421|войск|603
422|жизни|602
423|середине|602
424|лиги|602
425|президентом|600
426|владимира|600
427|статьи|598
428|центра|598
429|законопроект|597
430|несмотря|597
431|триллиона|596
432|годах|595
433|протеста|595
434|игры|594
435|чемпионате|593
436|госдумы|590
437|аварии|590
438|американских|589
439|вскоре|588
440|инцидента|588
441|ситуации|587
442|сложности|586
443|месяца|585
444|службу|581
445|лишения|580
446|предполагается|580
447|неоднократно|580
448|погиб|579
449|санкции|579
450|конференции|578
451|стала|577
452|клуба|577
453|цен|576
454|матча|575
455|встреча|575
456|интернет|572
457|заместитель|572
458|площади|571
459|станет|571
460|места|570
461|признал|569
462|помощь|567
463|задержали|566
464|турции|566
465|российская|565
466|алексей|564
467|системы|564
468|стоит|563
469|региона|563
470|результаты|563
471|убийство|562
472|агентству|561
473|втором|560
474|сообщила|560
475|населения|560
476|помимо|556
477|голосования|556
478|армии|554
479|столице|554
480|прошлом|552
481|уровне|552
482|кубометров|550
483|намерен|550
484|сделки|550
485|права|550
486|августе|549
487|которую|546
488|расследования|544
489|нью|543
490|руководство|542
491|государство|542
492|находился|541
493|поддержку|541
494|оппозиции|540
495|июне|539
496|таких|538
497|фсб|536
498|показатель|536
499|войны|535
500|уточнил|535
501|соглашение|534
502|фонда|533
503|первой|533
504|релизе|532
505|сборная|531
506|переговоров|528
507|депутатов|528
508|газпром|526
509|годам|525
510|депутат|525
511|прокуратуры|525
512|прокуратура|523
513|недели|522
514|победы|522
515|текущего|521
516|израиля|521
517|нато|519
518|минобороны|518
519|начали|516
520|неизвестно|516
521|фунтов|515
522|виктор|515
523|оценивается|515
524|скончался|514
525|одна|514
526|общая|513
527|цена|512
528|вести|511
529|должность|510
530|закона|510
531|премьера|510
532|сможет|507
533|которым|507
534|главного|506
535|внутренних|505
536|нефть|505
537|подписал|504
538|силу|504
539|ответственность|504
540|получила|504
541|занимает|503
542|июле|503
543|тонн|500
544|смерти|500
545|избирателей|499
546|подозреваемых|497
547|комитет|495
548|михаил|495
549|группировки|495
550|шести|493
551|взрыв|492
552|отставку|491
553|ущерб|490
554|тимошенко|489
555|партия|488
556|кризиса|488
557|киев|486
558|финансов|486
559|комиссии|485
560|назвал|484
561|квартале|484
562|пройдут|484
563|месяц|484
564|многие|483
565|порошенко|483
566|рынка|482
567|спорт|482
568|ираке|481
569|организаций|481
570|петербурге|481
571|минут|480
572|лидера|478
573|очков|476
574|больницу|476
575|экипажа|475
576|смогут|475
577|отказались|474
578|футболу|474
579|пояснил|474
580|московского|473
581|государственной|471
582|целью|471
583|ммвб|471
584|соглашения|470
585|поводу|469
586|поэтому|469
587|причины|467
588|утверждают|467
589|площадь|467
590|самолетов|466
591|проверки|465
592|документы|465
593|являются|464
594|одном|463
595|вырос|463
596|пункта|463
597|председатель|463
598|участники|462
599|вооруженных|461
600|крыма|459
601|выразил|459
602|сети|458
603|бюджет|458
604|мере|458
605|депутаты|456
606|северной|456
607|телеканал|455
608|приводит|455
609|первое|455
610|сообщения|454
611|федерального|453
612|мэра|453
613|управление|452
614|задержанных|452
615|мире|452
616|ответ|451
617|цб|450
618|местному|450
619|какие|450
620|доме|449
621|пожара|449
622|порядка|448
623|спустя|448
624|эксперты|447
625|днем|447
626|убийстве|446
627|военного|446
628|федеральной|446
629|встрече|446
630|местных|445
631|накануне|442
632|силы|442
633|сезона|442
634|ввс|441
635|режима|441
636|сведениям|441
637|жители|440
638|клуб|440
639|терактов|438
640|ирака|437
641|команда|436
642|произошедшего|436
643|правоохранительные|435
644|отметили|434
645|впоследствии|434
646|летом|434
647|международного|434
648|уровень|433
649|суде|433
650|цска|433
651|контракт|433
652|журналистам|433
653|экономики|432
654|проходит|432
655|теракта|431
656|странах|430
657|всей|429
658|юрий|429
659|итоге|429
660|гувд|428
661|кандидатов|428
662|ближайшие|428
663|министров|428
664|москву|427
665|свыше|427
666|утверждает|427
667|предложение|426
668|интерфаксу|426
669|террористов|426
670|ющенко|425
671|должности|425
672|строительства|424
673|экономического|424
674|чечни|423
675|американские|423
676|колонии|422
677|члены|422
678|регионального|422
679|денег|422
680|последним|421
681|включая|421
682|деятельность|419
683|журналистов|418
684|которому|417
685|коммерсантъ|417
686|следствие|416
687|годом|415
688|фонд|415
689|японии|414
690|соответствии|414
691|осетии|413
692|произошла|413
693|пользу|413
694|регионов|412
695|матчей|411
696|серии|411
697|прошли|411
698|жилья|411
699|государств|410
700|союза|409
701|просьбой|409
702|италии|409
703|андрей|409
704|чемпионат|408
705|санкций|408
706|нападения|408
707|испании|407
708|сезоне|407
709|регионе|407
710|предложил|406
711|роста|406
712|могли|406
713|территорию|405
714|пообещал|405
715|нарушение|404
716|банков|403
717|план|402
718|готов|400
719|работе|400
720|петербурга|400
721|намерены|400
722|директоров|399
723|целом|399
724|десяти|398
725|киеве|398
726|минимум|397
727|турнира|396
728|продажу|396
729|газ|396
730|х|395
731|республике|395
732|убийства|395
733|возможности|395
734|пожар|393
735|организация|393
736|помощью|393
737|отмечают|392
738|жертвами|392
739|начался|392
740|семи|392
741|летнего|391
742|палаты|391
743|полицейских|391
744|сочи|390
745|улице|390
746|жертв|390
747|обвинение|390
748|начнется|389
749|единой|389
750|работает|389
751|подтвердили|389
752|председателя|388
753|европе|388
754|работают|387
755|неделю|386
756|проведение|386
757|вышел|386
758|ртс|385
759|данных|385
760|торгов|385
761|истории|385
762|отношения|384
763|размер|384
764|страну|384
765|парламент|383
766|губернатора|383
767|сделал|383
768|годов|382
769|якобы|382
770|президентских|382
771|руководства|382
772|руководитель|382
773|техники|381
774|китая|381
775|упал|380
776|объектов|380
777|участия|379
778|тура|379
779|предложения|379
780|поставки|378
781|некоторых|378
782|иг|378
783|машины|377
784|газпрома|377
785|заседание|376
786|проголосовали|376
787|экс|376
788|здание|376
789|заявлял|375
790|собирается|375
791|украинской|375
792|такого|374
793|оружие|374
794|производства|374
795|оценкам|374
796|первую|373
797|остается|372
798|ответственности|372
799|второго|371
800|рассмотрение|371
801|телеканала|371
802|подтвердил|370
803|превышает|370
804|смогли|370
805|кубка|370
806|начались|370
807|наказание|369
808|ряда|368
809|следует|367
810|донецкой|367
811|городах|367
812|ситуацию|367
813|игра|366
814|соответственно|365
815|полицейские|365
816|среднем|365
817|юго|365
818|процесс|364
819|касается|364
820|обратился|363
821|американской|363
822|политики|363
823|получит|362
824|вновь|362
825|неделе|362
826|боевики|361
827|полномочий|361
828|эфире|361
829|последнее|361
830|прав|360
831|оказались|360
832|дтп|359
833|женщины|359
834|состояние|359
835|тюрьмы|358
836|нападение|357
837|виновным|357
838|поправки|357
839|травмы|357
840|кндр|357
841|директор|357
842|выступил|357
843|грозит|357
844|каких|357
845|станции|357
846|адвокат|356
847|следующий|356
848|россияне|356
849|продажи|356
850|борьбе|356
851|соответствующее|355
852|центр|355
853|практически|354
854|саакашвили|354
855|доля|354
856|документов|352
857|гибели|352
858|намерена|352
859|основной|351
860|прошел|351
861|объявили|350
862|правил|350
863|тела|350
864|президенты|350
865|нарушения|349
866|убиты|349
867|заключения|348
868|обязанности|348
869|следователи|348
870|контроль|348
871|крым|348
872|намерении|347
873|боевых|347
874|виде|347
875|начальник|346
876|террористической|346
877|уровня|346
878|иск|346
879|расходы|346
880|использовать|346
881|финала|346
882|победу|345
883|запрет|345
884|сообщение|345
885|новостей|345
886|четверо|344
887|госдуму|344
888|песков|344
889|официального|343
890|создать|343
891|обама|342
892|осенью|342
893|состоялся|342
894|источника|342
895|китай|341
896|причем|341
897|игорь|341
898|рынок|341
899|украинские|341
900|евросоюза|340
901|остальные|340
902|департамента|340
903|розыск|339
904|президенту|339
905|сергея|339
