|word|wordcount
0|россии|617
1|словам|371
2|рублей|351
3|процента|317
4|сша|314
5|данным|311
6|долларов|262
7|ранее|253
8|страны|232
9|сообщает|223
10|новости|205
11|риа|200
12|заявил|192
13|результате|190
14|го|184
15|марта|177
16|миллиона|174
17|стране|174
18|украины|170
19|января|159
20|решение|156
21|президент|155
22|президента|152
23|компании|150
24|москвы|150
25|миллиардов|149
26|москве|147
27|власти|140
28|ходе|139
29|июля|134
30|области|131
31|рф|129
32|сообщалось|128
33|суд|119
34|августа|112
35|начале|111
36|города|110
37|участие|109
38|агентство|108
39|безопасности|108
40|министр|106
41|представители|106
42|течение|105
43|февраля|103
44|сентября|102
45|российских|101
46|стало|101
47|триллиона|98
48|территории|97
49|находится|96
50|последние|96
51|настоящее|95
52|планируется|95
53|мвд|95
54|пресс|95
55|сотрудники|95
56|должны|95
57|частности|95
58|июня|94
59|информации|94
60|напомним|94
61|мая|94
62|службы|93
63|мнению|93
64|евро|93
65|дня|92
66|котором|92
67|части|90
68|стали|87
69|декабря|87
70|погибли|87
71|трех|87
72|тысячи|87
73|октября|87
74|отношении|86
75|удалось|86
76|премьер|84
77|глава|84
78|передает|83
79|стран|82
80|произошел|82
81|мае|82
82|дела|81
83|акции|81
84|газа|80
85|владимир|78
86|ссылкой|78
87|российского|78
88|погибших|77
89|главы|77
90|итогам|75
91|минут|75
92|составляет|75
93|согласно|75
94|отметил|75
95|уголовное|74
96|числе|74
97|таким|73
98|грузии|73
99|правительства|73
100|стороны|73
101|человека|72
102|рамках|72
103|составила|72
104|среди|71
105|получили|71
106|национальной|70
107|ноября|70
108|сборной|69
109|партии|69
110|составе|69
111|возбуждено|69
112|цен|68
113|доллара|68
114|рассказал|68
115|представителей|67
116|известно|67
117|интерфакс|66
118|банка|66
119|компаний|65
120|сил|65
121|республики|65
122|европы|64
123|сумма|64
124|километров|64
125|дней|64
126|апреля|64
127|сообщил|64
128|общая|64
129|срок|64
130|членов|64
131|месте|63
132|стоимость|63
133|сотрудников|63
134|россию|63
135|организации|62
136|сайте|62
137|прошлом|61
138|происшествия|61
139|общей|61
140|сообщили|61
141|представитель|60
142|сложности|60
143|ожидается|60
144|четверг|60
145|пост|60
146|государства|59
147|военных|59
148|мчс|59
149|московскому|59
150|полиции|59
151|администрации|59
152|пяти|59
153|связи|58
154|является|58
155|инцидент|58
156|выборы|57
157|образом|57
158|акций|57
159|случае|57
160|делу|57
161|жителей|57
162|момент|56
163|уголовного|56
164|пострадали|56
165|рубля|55
166|приняли|55
167|бывшего|55
168|выборов|55
169|совета|55
170|путин|55
171|следствия|54
172|операции|54
173|лидер|54
174|команды|54
175|причиной|54
176|чемпионата|53
177|белоруссии|53
178|информацию|53
179|летний|53
180|работы|53
181|новые|52
182|детей|52
183|граждан|52
184|находятся|52
185|военной|52
186|сми|52
187|дома|52
188|качестве|52
189|комитета|52
190|движения|52
191|министра|51
192|дмитрий|51
193|понедельник|51
194|официально|51
195|конце|51
196|аварии|50
197|факту|50
198|считает|50
199|подчеркнул|50
200|объем|50
201|период|50
202|городе|50
203|отмечается|50
204|которую|50
205|счет|50
206|франции|50
207|сумму|49
208|средств|49
209|оон|49
210|метров|49
211|войны|49
212|целом|49
213|самолет|49
214|участников|48
215|тасс|48
216|число|48
217|германии|48
218|компания|48
219|российской|48
220|проекта|48
221|украине|48
222|очередь|48
223|лиги|48
224|январе|48
225|газета|48
226|составит|48
227|воскресенье|47
228|российский|47
229|нескольких|47
230|рынке|47
231|издания|47
232|закон|47
233|стала|46
234|осетии|46
235|х|46
236|российские|46
237|список|46
238|произошло|46
239|парламента|46
240|состоится|46
241|находились|46
242|должна|46
243|турции|46
244|заявили|46
245|мужчина|45
246|юго|45
247|санкт|45
248|военнослужащих|45
249|статье|45
250|стоит|45
251|оружия|45
252|властей|45
253|вечером|44
254|впервые|44
255|отмечает|44
256|причем|44
257|часов|44
258|строительство|44
259|группа|44
260|выборах|44
261|январь|44
262|помощи|44
263|всей|43
264|вице|43
265|доме|43
266|одна|43
267|заместитель|43
268|режиме|43
269|женщины|43
270|слова|43
271|статьи|43
272|председателя|42
273|людей|42
274|сообщается|42
275|банк|42
276|управления|42
277|получил|42
278|гибели|42
279|результатам|42
280|вторник|42
281|полиция|41
282|ссср|41
283|путина|41
284|планирует|41
285|правоохранительных|41
286|трое|41
287|версии|41
288|расследование|41
289|федерации|41
290|юкоса|41
291|киеве|41
292|развития|41
293|аль|41
294|обвинения|41
295|войск|41
296|возможность|41
297|пройдет|40
298|группы|40
299|цене|40
300|инцидента|40
301|итоге|40
302|ведомства|40
303|экипажа|40
304|среду|40
305|проверки|40
306|миллиарда|40
307|неизвестно|39
308|действия|39
309|управление|39
310|члены|39
311|правил|39
312|двое|39
313|решения|39
314|утром|39
315|поддержку|39
316|примерно|39
317|месяца|39
318|пишет|39
319|россией|39
320|квадратных|39
321|итар|39
322|заявила|39
323|регионов|38
324|марте|38
325|ближайшее|38
326|поскольку|38
327|необходимо|38
328|жизни|38
329|протеста|38
330|вырос|38
331|свободы|38
332|сирии|38
333|сравнению|38
334|счетом|38
335|ранения|38
336|информация|38
337|шести|38
338|лидера|38
339|создать|38
