|word|wordcount
0|сообщает риа новости|162
1|составила миллиарда долларов|151
2|сумма сделки составила|113
3|сделки составила миллиарда|75
4|передает риа новости|73
5|долларов миллиарда долларов|54
6|составит миллиарда долларов|31
7|миллиарда долларов миллиарда|25
8|долларов миллиардов долларов|25
9|результате авиакатастрофы погибли|25
10|годам лишения свободы|24
11|президент сша джордж|23
12|сша джордж буш|23
13|возбуждено уголовное статье|23
14|составила миллиардов долларов|22
15|летний житель города|19
16|составил миллиарда долларов|19
17|способен развивать скорость|19
18|месте происшествия работают|18
19|оценивается миллиардов долларов|18
20|получили ранения различной|18
21|составит миллиардов долларов|16
22|общая сумма сделки|16
23|оценивается миллиарда долларов|16
24|самолет способен развивать|15
25|результате взрыва погибли|15
26|риа новости ссылкой|14
27|получили ранения разной|14
28|президент россии дмитрий|14
29|миллиардов долларов миллиарда|14
30|россии дмитрий медведев|13
31|сотрудников правоохранительных органов|13
32|сообщил риа новости|13
33|двое получили ранения|13
34|миллиарда долларов долларов|12
35|сделки составила долларов|12
36|результате миллиардов долларов|12
37|агентство риа новости|12
38|ранения разной степени|12
39|раком мозга новости|11
40|долларов тысячи долларов|11
41|составляет миллиарда долларов|11
42|премьер министр россии|11
43|ранения различной тяжести|11
44|результате раком мозга|11
45|риа новости заявил|10
46|миллиарда долларов миллиардов|10
47|размере миллиарда долларов|10
48|возбуждено уголовное неосторожности|10
49|сделки составила миллиардов|10
50|премьер министр рф|9
51|президент россии владимир|9
52|россии владимир путин|9
53|сообщается официальном сайте|9
54|инцидент произошел июля|9
55|сотрудники правоохранительных органов|9
56|данным риа новости|9
57|дмитрий песков заявил|9
58|официальном сайте мвд|8
59|статье ук рф|8
60|различной степени тяжести|8
61|стоимость сделки составила|8
62|портфель перспективных проектов|8
63|сумма сделки оценивается|8
64|сумму миллиарда долларов|8
65|размере миллиардов долларов|8
66|россии дмитрий песков|8
67|летний житель украины|8
68|составила тысячи долларов|8
69|сократилась миллиарда долларов|7
70|результате инцидента погибли|7
71|риа новости сообщает|7
72|тысячи долларов тысячи|7
73|миллиарда долларов сша|7
74|миллиардов долларов миллиардов|7
75|результате авиакатастрофы произошла|7
76|заявил риа новости|7
77|результате происшествия погибли|7
78|миллиардов долларов сша|7
79|новости сообщает риа|7
80|риа новости передает|7
81|президент украины петр|7
82|владимир путин заявил|7
83|уровне миллиарда долларов|7
84|миллиардов долларов долларов|7
85|отмечает риа новости|6
86|развивать скорость километров|6
87|сделки составит миллиарда|6
88|составлять миллиардов долларов|6
89|тысячи долларов сша|6
90|сумма сделки составит|6
91|долларов передает риа|6
92|летнего саддама хусейна|6
93|сообщает агентство интерфакс|6
94|новости передает риа|6
95|дмитрий медведев заявил|6
96|результате происшествия пострадал|6
97|летний житель области|6
98|первом матче зенита|6
99|риа новости сообщил|6
100|индекс ммвб опустился|6
101|процента миллиарда долларов|6
102|результате инцидента пострадал|6
103|авиакатастрофы погибли двое|6
104|ранения различной степени|6
105|разной степени тяжести|6
106|сумма сделки неизвестна|6
107|факту произошедшего возбуждено|6
108|составили миллиарда долларов|5
109|инцидент произошел июня|5
110|результате взрыва результате|5
111|июля президент украины|5
112|рейтинговое агентство риа|5
113|рф дмитрий песков|5
114|произошел обвал котировок|5
115|летний местный житель|5
116|получили ранения получили|5
117|долларов тысячу кубометров|5
118|министр рф дмитрий|5
119|долларов сообщает риа|5
120|шестеро получили ранения|5
121|мая официальном сайте|5
122|инцидент произошел октября|5
123|президент украины шон|5
124|евро миллиарда долларов|5
