|word|wordcount
0|сообщает риа новости|55
1|передает риа новости|32
2|риа новости ссылкой|29
3|возбуждено уголовное статье|23
4|сообщает итар тасс|21
5|правил дорожного движения|21
6|россии владимир путин|18
7|россии дмитрий медведев|17
8|различной степени тяжести|17
9|президент украины петр|17
10|президент россии владимир|17
11|украины петр порошенко|16
12|итар тасс ссылкой|16
13|нарушение правил дорожного|16
14|ранения различной степени|15
15|ссылкой пресс службу|14
16|статьи уголовного кодекса|13
17|опросе приняли участие|13
18|передает итар тасс|12
19|части статьи уголовного|12
20|уголовное части статьи|11
21|юго востоке украины|11
22|получили ранения различной|11
23|агентство риа новости|11
24|сша барак обама|10
25|части статьи ук|10
26|миллиардов кубометров газа|10
27|официальный представитель кремля|10
28|агентству риа новости|10
29|президент сша барак|10
30|статьи ук рф|10
31|портале правовой информации|9
32|данным риа новости|9
33|месте происшествия работают|9
34|данным итар тасс|9
35|общая сумма обязательств|8
36|президент россии дмитрий|8
37|премьер министр дмитрий|8
38|полиция ведет розыск|8
39|российские фондовые индексы|8
40|статье ук рф|8
41|министр дмитрий медведев|8
42|рассказал риа новости|7
43|москве санкт петербурге|7
44|информационному агентству риа|7
45|новости ссылкой пресс|7
46|происшествия работают спасатели|7
47|возбуждено части статьи|7
48|представитель кремля дмитрий|7
49|юго восточной азии|7
50|долларов тысячу кубометров|7
51|итогам третьего квартала|7
52|возбуждено уголовное части|7
53|рублей миллиардов рублей|7
54|миллиона квадратных метров|7
55|сообщили риа новости|7
56|сообщает интерфакс ссылкой|7
57|начале х годов|7
58|самопровозглашенной луганской народной|7
59|президента башара асада|6
60|следственного комитета россии|6
61|президента сша дональда|6
62|бывший министр финансов|6
63|сотрудников правоохранительных органов|6
64|владимир путин подписал|6
65|сообщил информационному агентству|6
66|составила триллиона рублей|6
67|агентство интерфакс ссылкой|6
68|повлекшее неосторожности смерть|6
69|риа новости пресс|6
70|министр финансов россии|6
71|статье нарушение правил|6
72|сша дональда трампа|6
73|составил триллиона рублей|6
74|тасс ссылкой источники|6
75|уголовное статье нарушение|6
76|президент грузии михаил|6
77|проблеме иранских ядерных|5
78|эксплуатации транспортных средств|5
79|совета национальной безопасности|5
80|незаконном обороте наркотиков|5
81|церемония награждения лауреатов|5
82|риа новости адвокат|5
83|марта аналогичное мнение|5
84|владимир путин поручил|5
85|движения эксплуатации транспортных|5
86|способны развивать скорость|5
87|министр владимир путин|5
88|дата выхода игры|5
89|составила миллиардов рублей|5
90|группового этапа лиги|5
91|триллиона кубометров газа|5
92|уголовное статье терроризм|5
93|дорожного движения повлекшее|5
94|составляет миллиардов рублей|5
95|премьер министр россии|5
96|кремля дмитрий песков|5
97|миллиона фунтов стерлингов|5
98|тасс ссылкой пресс|5
99|петр порошенко заявил|5
100|общую сумму миллиона|5
101|новости пресс службе|5
102|премьер министр владимир|5
103|луганской народной республике|5
104|этапа лиги чемпионов|5
105|конце прошлой недели|5
106|лидер лдпр владимир|5
107|происшествия возбуждено уголовное|5
108|рассказала изданию представительница|5
109|дмитрий медведев заявил|5
110|сумма сделки составила|5
111|европейская валюта стоила|5
112|сообщает агентство интерфакс|5
113|официальном портале правовой|5
114|риа новости представитель|5
115|говоря проблеме иранских|5
116|информации риа новости|5
117|грузии михаил саакашвили|5
118|агентство итар тасс|5
119|американские фондовые индексы|5
120|интерфакс ссылкой источники|5
121|премьер министр страны|5
122|сумма иска составила|5
123|согласно действующему плану|5
124|интерфакс ссылкой пресс|5
125|факту происшествия возбуждено|5
126|лдпр владимир жириновский|5
127|пост премьер министра|5
128|сумму миллиардов рублей|5
129|комитета россии скр|4
130|ссылкой собственного корреспондента|4
131|спикер совета федерации|4
132|тур президентских выборов|4
133|триллиона рублей акцию|4
134|федеральной антимонопольной службы|4
135|числятся пропавшими вести|4
136|русская служба новостей|4
137|третьем чтении закон|4
138|госдума приняла третьем|4
139|колонии строгого режима|4
