|word|wordcount
0|россии|1447
1|судя|894
2|главное|706
3|пресс|695
4|миру|686
5|уполномоченный|655
6|сша|620
7|стороны|601
8|управление|519
9|правам|479
10|премьер|442
11|мире|441
12|человека|441
13|вице|403
14|стране|372
15|секретарь|344
16|новости|324
17|риа|323
18|находится|309
19|пожары|306
20|внешним|306
21|прежнему|296
22|сообщает|281
23|процента|281
24|состоянии|264
25|страны|264
26|поводу|263
27|признакам|260
28|президенте|256
29|президента|251
30|зависит|242
31|течение|232
32|проводится|231
33|укрепление|226
34|остается|226
35|военно|224
36|комментариев|213
37|передает|212
38|регионального|210
39|является|210
40|рынке|206
41|кризиса|205
42|тасс|203
43|властей|202
44|избирателей|200
45|транспортный|198
46|ситуации|196
47|служба|196
48|отличие|191
49|действий|191
50|налогов|184
51|опьянения|184
52|правительства|183
53|полученных|180
54|уплаты|179
55|территории|177
56|дома|177
57|безопасности|177
58|людей|174
59|явка|173
60|долларов|168
61|стран|166
62|одна|163
63|качестве|163
64|количеству|162
65|температура|161
66|средняя|160
67|контролем|159
68|ребенка|159
69|нидерланды|154
70|серьезно|152
71|населения|152
72|министр|151
73|плата|149
74|травм|149
75|создает|144
76|терроризма|144
77|мнению|144
78|украинских|142
79|центра|139
80|голосов|137
81|популярности|135
82|ходе|131
83|беженцев|131
84|алкогольного|128
85|экспертов|125
86|воздуха|125
87|управления|124
88|происходит|124
89|делами|122
90|помощи|122
91|данным|121
92|ущерб|120
93|заявил|118
94|вызванного|118
95|странами|118
96|проверка|118
97|украины|118
98|здоровьем|117
99|получил|117
100|угрозу|116
101|занимает|116
102|позиции|116
103|проблем|115
104|зарплата|114
105|помощь|112
106|проживающих|112
107|украине|111
108|ситуацию|110
109|конференция|106
110|либо|106
111|соперник|104
112|зависимости|103
113|министра|102
114|компенсировать|101
115|российских|101
116|цена|101
117|высокая|100
118|частности|100
119|цен|98
120|сложной|97
121|белого|97
122|добавил|97
123|ссылкой|97
124|некоторым|96
125|здания|96
126|инфляция|96
127|борьбе|96
128|право|95
129|выступая|95
130|денег|94
131|рубля|94
132|анб|93
133|службы|92
134|потребовал|92
135|сторон|92
136|лучший|92
137|продажи|89
138|дней|88
139|партии|87
140|лидером|86
141|четверти|86
142|свидетеля|85
143|павел|85
144|серьезные|85
145|остались|85
146|государства|84
147|образом|84
148|самых|84
149|последние|84
150|недели|83
151|конфликт|83
152|случаю|83
153|таким|83
154|европе|83
155|спасению|83
156|полученной|79
157|рубеж|79
158|отказался|79
159|опасаясь|79
160|владимир|77
161|подчеркнул|77
162|незадолго|77
163|развитию|76
164|причем|76
165|нескольких|76
166|средств|75
167|финансов|75
168|конфликта|75
169|многим|75
170|информации|74
171|дмитрий|74
172|настоящее|73
173|здоровья|73
174|землетрясения|73
175|наряду|72
176|сил|72
177|места|72
178|путин|71
179|дня|71
180|рубежом|71
181|случае|71
182|основном|71
183|планов|70
184|астахов|70
185|угроза|70
186|терроризмом|70
187|мины|70
188|украину|69
189|шон|69
190|отказа|69
191|общего|69
192|кандидата|69
193|результате|68
194|среди|68
195|приходится|68
196|делам|67
197|оценке|67
198|использования|67
199|ворот|67
200|словам|67
201|билетов|66
202|жителей|66
203|путина|66
204|избежать|65
205|построен|65
206|грани|64
207|экономической|64
208|числа|64
209|показателю|63
210|работу|63
211|результатам|63
212|юго|63
213|отличается|63
214|санкт|63
215|крупнейших|62
216|продолжения|62
217|оружия|62
218|причинам|62
219|обеспечить|62
220|мчс|62
221|безопасность|62
222|маккейн|62
223|востоке|61
224|крупных|61
225|александр|61
226|источники|60
227|ирака|60
228|грузинской|60
229|пострадал|60
230|ключевым|60
231|тысячи|59
232|техническим|59
233|разработок|59
234|целом|59
235|показателям|59
236|числе|58
237|песков|58
238|строительству|58
239|китая|58
240|цены|58
241|миллиона|58
242|счет|58
243|наркотиков|57
244|учета|57
245|всей|57
246|обороны|57
247|самолет|57
248|величине|56
249|огня|56
250|сообщается|56
251|контролю|56
252|необходимости|56
253|наряд|56
254|одним|56
255|единственная|55
256|войны|55
257|шансы|55
258|работы|55
259|сотрудничество|55
260|стоимость|55
261|ситуация|55
262|годы|55
263|фактором|55
264|жизни|54
265|смерть|54
266|взрыв|54
267|проблему|54
268|нефти|54
269|спросил|54
270|сборной|53
271|производству|53
272|неназванные|53
273|клинтон|52
274|массового|52
275|пользу|52
276|результатов|52
277|оборотом|51
278|оценкам|51
279|динамика|51
280|итар|51
281|электричества|50
282|сильного|50
283|близости|50
284|впереди|50
285|непосредственной|50
286|количество|50
287|защиты|50
288|рф|50
289|потери|50
290|министерства|50
291|гран|50
292|отказались|49
293|международного|49
294|имеют|49
295|компаний|48
296|итогам|48
297|пострадавших|48
298|переговоров|48
299|комитета|47
300|членов|47
301|пострадавшим|47
302|южной|47
303|возникновения|46
304|россию|46
305|определенные|46
306|фонда|46
307|вторым|46
308|причин|46
309|эпицентр|45
310|примерно|45
311|бело|45
312|поражения|45
313|света|45
314|войну|45
315|падения|45
316|последнее|45
317|сильных|44
318|рфс|44
319|курса|44
320|удалось|44
321|среды|44
322|валютного|44
323|пострадала|44
324|иг|43
325|сотрудничества|43
326|назвал|43
327|задача|43
328|культуре|43
329|ираке|43
330|владимира|42
331|суммы|42
332|рамках|42
333|работал|42
334|предназначены|42
335|подсчета|41
336|войск|41
337|республиканской|41
338|победы|41
339|магатэ|41
340|футболу|41
341|техническое|41
342|ключевых|41
343|окружающей|40
344|одно|40
345|опрошенных|40
346|получает|40
347|атомной|40
348|жилья|40
349|созданию|40
350|электронного|39
351|хиллари|39
352|федеральной|39
353|каждой|39
354|двумя|39
355|большая|39
356|здоровью|39
357|исключением|39
358|продолжительность|39
359|располагался|39
360|выполнения|39
361|би|39
362|вероятности|38
363|демократической|38
364|составила|38
365|ираком|38
366|поддержке|38
367|поэтому|38
368|возникает|38
369|газа|37
370|сирии|37
371|дорогих|37
372|флота|37
373|неосторожности|37
374|месяца|37
375|уровень|37
376|возможности|37
377|регионов|37
378|предварительной|36
379|угрозы|36
380|федеральная|36
381|организации|36
382|море|36
383|второе|36
384|нападавшие|36
385|произошел|36
386|энергии|36
387|проблемы|35
388|сентября|35
389|силовиков|35
390|носитель|35
391|маршруту|35
392|сохранения|35
393|италия|35
394|режиме|35
395|главы|35
396|республике|34
397|наибольшее|34
398|десятки|34
399|проведению|34
400|коррупцией|34
401|рублей|34
402|отсутствия|34
403|силуанов|34
404|трое|34
405|член|34
406|сохранить|34
407|проведения|34
408|антон|34
409|сообщении|34
410|местному|33
411|мок|33
412|поездок|33
413|цель|33
414|браки|32
415|восточной|32
416|несмотря|32
417|отношений|32
418|находившиеся|32
419|дефолта|32
420|россией|32
421|программы|32
422|го|31
423|половины|31
424|данный|31
425|интерфакс|31
426|должны|31
427|германии|31
428|запада|31
429|участия|31
430|ранения|31
431|нсн|31
432|состояние|30
433|линии|30
434|алеппо|30
435|голубых|30
436|юге|30
437|военных|30
438|отдел|30
439|совпадает|30
440|отношения|30
441|москвы|30
442|городов|30
443|находятся|30
444|власти|30
445|нахождения|29
446|недвижимости|29
447|кавказе|29
448|чс|29
449|многих|29
450|грузией|29
451|фас|29
452|ежегодно|29
453|россиян|29
454|газопровода|29
455|неизвестно|29
456|ирана|29
457|северном|29
458|предложения|29
459|х|29
460|никаких|28
461|рака|28
462|задач|28
